date,platform,post_type,likes,comments,shares,reach,followers
2024-01-01,Instagram,Reel,1200,89,45,8500,12000
2024-01-03,Instagram,Photo,450,32,12,3200,12050
2024-01-05,TikTok,Video,3400,210,180,25000,12050
2024-01-07,Instagram,Carousel,890,67,34,6100,12100
2024-01-10,Instagram,Reel,2100,145,92,15000,12150
2024-01-12,TikTok,Video,5200,389,245,42000,12200
2024-01-14,Instagram,Photo,380,28,9,2800,12200
2024-01-16,Instagram,Reel,1800,112,78,12500,12250
2024-01-18,TikTok,Video,4100,298,167,33000,12300
2024-01-20,Instagram,Carousel,760,54,28,5400,12300